Name,OutcomeType,AgeuponOutcome,Breed,Color,Intact Female,Intact Male,Neutered Male,Spayed Female,Unknown,Cat,Dog
1,3,365.0,1,1,0,0,1,0,0,0,1
1,2,365.0,1,0,0,0,0,1,0,1,0
1,0,730.0,1,1,0,0,1,0,0,0,1
0,4,21.0,1,0,0,1,0,0,0,1,0
0,4,730.0,0,0,0,0,1,0,0,0,1
1,4,30.0,0,1,1,0,0,0,0,0,1
1,4,21.0,1,0,0,1,0,0,0,1,0
0,4,21.0,1,0,0,0,0,0,1,1,0
1,0,150.0,1,1,0,0,0,1,0,0,1
0,0,365.0,0,0,0,0,0,1,0,0,1
0,4,730.0,1,0,0,0,0,0,1,1,0
0,0,730.0,1,0,0,0,0,1,0,0,1
1,0,1460.0,1,0,0,0,1,0,0,0,1
1,3,730.0,1,1,0,0,1,0,0,0,1
1,3,365.0,1,1,0,0,1,0,0,0,1
1,0,90.0,1,1,0,0,1,0,0,1,0
0,4,21.0,1,0,0,1,0,0,0,1,0
0,4,14.0,1,1,1,0,0,0,0,0,1
1,4,730.0,1,0,1,0,0,0,0,1,0
1,3,365.0,1,0,0,0,1,0,0,0,1
1,4,60.0,1,1,0,1,0,0,0,0,1
1,4,365.0,1,0,0,0,0,1,0,1,0
1,0,730.0,0,1,0,0,0,1,0,0,1
1,0,300.0,1,1,0,0,1,0,0,0,1
1,3,60.0,1,1,0,0,1,0,0,0,1
1,4,30.0,1,0,1,0,0,0,0,1,0
1,0,180.0,1,1,0,0,0,1,0,0,1
1,0,1825.0,1,1,0,0,0,1,0,0,1
1,0,60.0,1,1,0,0,0,1,0,1,0
1,3,2555.0,1,0,0,0,1,0,0,1,0
0,2,1095.0,1,0,0,0,0,1,0,1,0
1,4,120.0,1,1,0,1,0,0,0,0,1
0,0,60.0,1,0,0,0,0,1,0,1,0
1,3,1825.0,0,1,0,0,1,0,0,0,1
1,4,1095.0,1,0,0,0,1,0,0,0,1
0,2,1095.0,1,0,0,1,0,0,0,0,1
1,3,1095.0,1,1,0,0,1,0,0,0,1
0,4,60.0,1,1,0,1,0,0,0,1,0
1,4,120.0,1,1,0,0,1,0,0,1,0
0,4,21.0,1,0,0,1,0,0,0,1,0
1,0,2555.0,1,0,0,0,0,1,0,1,0
0,4,60.0,1,0,0,1,0,0,0,1,0
1,4,60.0,1,0,1,0,0,0,0,1,0
0,4,1460.0,1,1,0,1,0,0,0,1,0
1,0,730.0,1,1,0,0,1,0,0,1,0
1,3,4380.0,0,0,0,0,1,0,0,0,1
1,3,3285.0,1,1,0,0,0,1,0,1,0
0,4,21.0,1,0,1,0,0,0,0,1,0
1,0,150.0,1,1,0,0,0,1,0,0,1
0,2,2190.0,0,1,0,1,0,0,0,0,1
0,4,365.0,1,0,1,0,0,0,0,1,0
1,0,90.0,1,0,0,0,0,1,0,1,0
